nzffdRecordNumber,eventDate,eventTime,institution,waterBody,waterBodyType,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,minimumElevation,distanceOcean,samplingMethod,samplingProtocol,taxonName,taxonCommonName,totalCount,notCountedButPresent,notDetectedButSoughtAtSite,minLength,maxLength,dataVersion
116821,8/05/2019,10:00,Waikato Regional Council,Lake Mangakaware,Lake,,434.22,Waikato River,1795115,5799263,28,157.06,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,167,FALSE,FALSE,,,V2
118668,18/03/2020,9:15,Waikato Regional Council,Bell Road Pumpstation,River,,434.131,Waikato River,1791213,5875891,,,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,10,FALSE,FALSE,,,V2
118668,18/03/2020,9:15,Waikato Regional Council,Bell Road Pumpstation,River,,434.131,Waikato River,1791213,5875891,,,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,51,FALSE,FALSE,,,V2
118668,18/03/2020,9:15,Waikato Regional Council,Bell Road Pumpstation,River,,434.131,Waikato River,1791213,5875891,,,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,10,FALSE,FALSE,,,V2
118668,18/03/2020,9:15,Waikato Regional Council,Bell Road Pumpstation,River,,434.131,Waikato River,1791213,5875891,,,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,10,FALSE,FALSE,,,V2
118668,18/03/2020,9:15,Waikato Regional Council,Bell Road Pumpstation,River,,434.131,Waikato River,1791213,5875891,,,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,10,FALSE,FALSE,,,V2
118668,18/03/2020,9:15,Waikato Regional Council,Bell Road Pumpstation,River,,434.131,Waikato River,1791213,5875891,,,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,9,FALSE,FALSE,,,V2
118695,7/05/2020,14:30,Waikato Regional Council,Whangmaire Stream,Stream,,438.01,Whangamaire Stream,1796809,5835440,,,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,8,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,2,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,7,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,4,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,2,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,3,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,2,FALSE,FALSE,,,V2
118706,13/11/2019,9:30,Waikato Regional Council,Lake Ngarotoiti outlet channel,Stream,,434.221,Waikato River,1801480,5797854,34,164.86,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,8,FALSE,FALSE,,,V2
118746,16/06/2020,13:00,Boffa Miskell Ltd,Waikato River unnamed tributary,Stream,,434.001,Waikato River,1798976,5822781,40,111.66,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,8,FALSE,FALSE,,,V2
118746,16/06/2020,13:00,Boffa Miskell Ltd,Waikato River unnamed tributary,Stream,,434.001,Waikato River,1798976,5822781,40,111.66,Fyke net - Standard,Unknown,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V2
120467,7/12/2020,6:00,Waikato Regional Council,Lake Okowhao outlet stream,Stream,,434,Waikato River,1789764,5844883,16,78.61,Fyke net - Super,Unknown,Ameiurus nebulosus,Catfish,411,FALSE,FALSE,,,V2
121302,22/04/2021,11:00,Northland Regional Council,Awakino River,River,,466.05,Wairoa River,1676791,6031551,20,41.3,Gill net - Trammel,Unknown,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V2
122545,1/07/2019,10:00,Ecology New Zealand Ltd,Farm drain,Stream,,434.161,Waikato River,1791307,5849452,,,Fyke net - Mini,Unknown,Ameiurus nebulosus,Catfish,25,FALSE,FALSE,,,V2
123660,3/03/2022,,Department of Conservation Northland,Tauraroa River tributary drains,Stream,"Tributary drains, Tauraroa River (Leslie Road)",466.072,Wairoa River,1708953,6028799,,,Gill net - Single mesh,Joy et al 2013,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V3
123660,3/03/2022,,Department of Conservation Northland,Tauraroa River tributary drains,Stream,"Tributary drains, Tauraroa River (Leslie Road)",466.072,Wairoa River,1708953,6028799,,,Traps - Gee minnow,Joy et al 2013,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V3
125465,25/05/2022,13:00,Boffa Miskell Ltd,Waerenga Stream,Stream,Waerenga Stream reach,214.093,Waikato River,1799797,5864508,23,69.31,Chemical detection - DNA,No published standard method,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V3
125507,28/06/2022,12:53,Boffa Miskell Ltd,Rotongaro Canal,Stream,Rotongaro Canal reach,434.001,Waikato River,1786809,5850893,11,67.14,Chemical detection - DNA,No published standard method,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V3
125609,5/04/2022,16:00,Boffa Miskell Ltd,Wilson drain down stream of quarry and sediment ponds,Stream,Up-stream from confluence with Wairua,466.13,Hatea River,1714876,6061007,100,129.99,Fyke net - Standard,No published standard method,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V3
125610,5/04/2022,,Boffa Miskell Ltd,Wilson drain at pump station,Other,Up-stream from confluence with Wairua,466.13,Wairoa River,1713418,6060360,94,127.95,Fyke net - Standard,No published standard method,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V3
125610,5/04/2022,,Boffa Miskell Ltd,Wilson drain at pump station,Other,Up-stream from confluence with Wairua,466.13,Wairoa River,1713418,6060360,94,127.95,Fyke net - Mini,No published standard method,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V3
125687,27/05/2021,14:30,Boffa Miskell Ltd,Unnamed Tributary of Waikato River (Southern gully tributary stream),Stream,Southern gully tributary survey reach,434.001,Waikato River,1795377,5823963,20,105.2,Chemical detection - DNA,No published standard method,Ameiurus nebulosus,Catfish,,TRUE,FALSE,,,V3
125699,9/07/2022,9:00,Ecology New Zealand Ltd,Belami Drain,Stream,,434.001,Waikato River,1791482,5848105,10,79.52,Fyke net - Standard,Joy et al 2013,Ameiurus nebulosus,Catfish,13,FALSE,FALSE,70,140,V3
125699,9/07/2022,9:00,Ecology New Zealand Ltd,Belami Drain,Stream,,434.001,Waikato River,1791482,5848105,10,79.52,Traps - Gee minnow,Joy et al 2013,Ameiurus nebulosus,Catfish,3,FALSE,FALSE,,,V3
125709,29/06/2022,9:00,Ecology New Zealand Ltd,Unnamed tributary Waikato River,Stream,,434.001,Waikato River,1793408,5824650,40,104.38,Fyke net - Standard,Joy et al 2013,Ameiurus nebulosus,Catfish,13,FALSE,FALSE,70,400,V3
125791,2/10/2019,,Pattle Delamore Partners Ltd,Puhinui Creek,Pond,Puhinui Creek Pond,438.06,Manukau Harbour,1767399,5903620,29,7.05,Fyke net - Standard,No published standard method,Ameiurus nebulosus,Catfish,3,FALSE,FALSE,300,400,V3
125865,14/10/2022,10:00,Ecology New Zealand Ltd,Unnamed lake,Lake,,434.161,Waikato River,1790711,5857020,9,71.64,Fyke net - Standard,No published standard method,Ameiurus nebulosus,Catfish,33,FALSE,FALSE,150,330,V3
127648,17/10/2022,,Tonkin and Taylor,Waipa River Tributary,Stream,,434.22,Waikato River,1795515,5819783,38,112.17,Traps - Gee minnow,Joy et al 2013,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V3
127648,17/10/2022,,Tonkin and Taylor,Waipa River Tributary,Stream,,434.22,Waikato River,1795515,5819783,38,112.17,Fyke net - Standard,Joy et al 2013,Ameiurus nebulosus,Catfish,81,FALSE,FALSE,95,270,V3
127649,17/10/2022,,Tonkin and Taylor,Waipa River Tributary,Stream,,434.22,Waikato River,1795030,5821184,39,110.36,Fyke net - Mini,Joy et al 2013,Ameiurus nebulosus,Catfish,6,FALSE,FALSE,90,265,V3
127650,17/10/2022,,Tonkin and Taylor,Waipa River Tributary,Stream,,434.22,Waikato River,1794365,5821052,38,110.36,Fyke net - Mini,Joy et al 2013,Ameiurus nebulosus,Catfish,5,FALSE,FALSE,,,V3
127652,19/10/2022,,Tonkin and Taylor,Waipa River Tributary,Stream,,434.22,Waikato River,1791632,5822552,31,106.62,Fyke net - Mini,Joy et al 2013,Ameiurus nebulosus,Catfish,1,FALSE,FALSE,,,V3
