nzffdRecordNumber,eventDate,eventTime,institution,waterBody,waterBodyType,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,minimumElevation,distanceOcean,samplingMethod,samplingProtocol,taxonName,taxonCommonName,totalCount,notCountedButPresent,notDetectedButSoughtAtSite,minLength,maxLength,dataVersion
15280,15/01/1997,14:00,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1688442,5636751,290,17.5,Electric fishing - Backpack,Unknown,Paranephrops,Koura,10,FALSE,FALSE,,,V1
15281,15/01/1997,15:00,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1686444,5634251,200,13.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
15282,16/01/1997,10:00,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1682148,5629050,80,5.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15284,29/01/1997,night,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1682148,5629050,80,5.8,Other net - combination of nets and traps,Unknown,Paranephrops,Koura,3,FALSE,FALSE,,,V1
15285,29/01/1997,night,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1690440,5640052,430,22,Other net - combination of nets and traps,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
15286,3/02/1997,20:45,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1682148,5628950,80,5.6,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15288,4/02/1997,20:45,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1679650,5625249,5,0.2,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15289,19/02/1997,20:30,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1682148,5628950,80,5.6,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15290,18/03/1997,9:45,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1688642,5636852,290,17.7,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15291,18/03/1997,11:00,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1682148,5628950,80,5.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15292,18/03/1997,13:00,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1690439,5640352,440,22.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15293,18/03/1997,12:30,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1690439,5640352,440,22.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15296,29/04/1997,19:00,Department of Conservation Wanganui,Ouri Stream,Not Entered,,359,Ouri S,1679650,5625249,5,0.2,Observation - Observation,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15297,13/03/1997,21:30,Department of Conservation Wanganui,Unnamed lake,Not Entered,,377,Warea R,1679434,5652842,280,19.9,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15300,11/12/1997,15:00,Massey University,Korito Stream,Not Entered,,392.022,Waiwhakaiho R,1694623,5663750,290,22.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15321,19/03/2005,20:00,NIWA,Waitomo Stream tributary,Not Entered,,434.226,Waikato R,1781925,5762534,80,212.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
15323,10/01/2003,day,Glencoal Energy Ltd,Lake Whangape tributary,Not Entered,,434.15,Waikato R,1780012,5840743,45,81.5,Other net - Hand net,Unknown,Paranephrops,Koura,221,FALSE,FALSE,,,V1
15324,6/01/2003,14:15,Taranaki Regional Council,Oaonui Stream,Not Entered,,368,Oaonui S,1676742,5641343,140,12.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
15336,1996-01,night,Private Individuals,Conroys Dam,Not Entered,,752.661,Clutha R,1311592,4979248,270,170.3,Fyke net - Fyke net including minifykes,Unknown,Paranephrops,Koura,8,FALSE,FALSE,,,V1
15338,10/01/1996,,Private Individuals,Manorburn Reservoir,Not Entered,,752.631,Clutha R,1334917,4970369,750,201.2,Other net - Seine,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
15340,10/01/1996,,Private Individuals,Poolburn Reservoir,Not Entered,,752.636,Clutha R,1344813,4978685,825,248,Other net - Seine,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
15364,1997-01,night,Private Individuals,Ruamahanga River,Not Entered,,292,Ruamahanga R,1822484,5452778,65,92.2,Fyke net - Fyke net including minifykes,Unknown,Paranephrops,Koura,4,FALSE,FALSE,,,V1
15369,12/02/2003,23:00,Taranaki Regional Council,Oaonui Stream,Not Entered,,368,Oaonui S,1676742,5641343,135,12.6,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
15375,3/03/1998,22:00,Private Individuals,Raurataua Stream,Not Entered,,449.01,Okiritoto S,1730860,5924648,60,9,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,4,FALSE,FALSE,,,V1
15452,12/01/1996,10:00,Department of Conservation Otago,Daphne Brook,Not Entered,,755.13,Catlins R,1322297,4856685,200,47,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15455,12/01/1996,16:30,Department of Conservation Otago,Frank Stream,Not Entered,,755.08,Catlins R,1328313,4850695,80,30.9,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15456,12/01/1996,17:00,Department of Conservation Otago,Frank Stream,Not Entered,,755.08,Catlins R,1328913,4850796,120,31.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15459,10/01/1996,19:25,Department of Conservation Otago,Beresford Creek,Not Entered,,759.012,Tahakopa R,1329124,4845994,170,11.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15460,10/01/1996,18:45,Department of Conservation Otago,Papatupu Stream,Not Entered,,755,Catlins R,1330422,4846897,140,27.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15461,10/01/1996,17:00,Department of Conservation Otago,McLaren Creek,Not Entered,,755.05,Catlins R,1336227,4845910,15,15.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,4,FALSE,FALSE,,,V1
15462,10/01/1996,17:40,Department of Conservation Otago,McLaren Creek,Not Entered,,755.05,Catlins R,1336930,4844511,50,16.7,Electric fishing - Backpack,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
15465,11/01/1996,18:30,Department of Conservation Otago,Matai Stream,Not Entered,,759.011,Tahakopa R,1330729,4844097,160,10.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15468,11/01/1996,11:15,Department of Conservation Otago,Back Creek,Not Entered,,759.02,Tahakopa R,1322226,4843377,15,12.9,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15469,11/01/1996,14:10,Department of Conservation Otago,Mary Burn tributary,Not Entered,,759.08,Tahakopa R,1307810,4846847,140,33.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,4,FALSE,FALSE,,,V1
15470,11/01/1996,15:00,Department of Conservation Otago,Tahakopa River,Not Entered,,759,Tahakopa R,1311811,4847457,70,27.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15541,2/03/1995,16:00,Department of Conservation Otago,Back Creek,Not Entered,,731.07,Waikouaiti R,1408751,4960555,250,40.7,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,25,90,V1
15542,26/05/1995,11:05,Department of Conservation Otago,Mokoreta River tributary,Not Entered,,775.13,Mataura R,1314882,4861672,320,113.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,5,250,V1
15543,26/05/1995,12:45,Department of Conservation Otago,Mokoreta River tributary,Not Entered,,775.13,Mataura R,1311678,4862866,200,107.9,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15544,26/05/1995,14:45,Department of Conservation Otago,Catlins River,Not Entered,,755,Catlins R,1317686,4860977,260,57.9,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,20,40,V1
15549,2/03/1995,11:15,Department of Conservation Otago,North Branch Waikouaiti River tributary,Not Entered,,731,Waikouaiti R,1399843,4966445,460,62.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15550,2/03/1995,10:40,Department of Conservation Otago,North Branch Waikouaiti River,Not Entered,,731,Waikouaiti R,1400942,4967146,450,60.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15557,5/03/1996,10:00,Private Individuals,Waikaretaheke River,Not Entered,,214.042,Wairoa R,1958317,5697478,560,78.5,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
15576,27/03/1996,12:00,Department of Conservation Otago,Taieri River tributary,Not Entered,,743,Taieri R,1383817,4987731,380,154.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15581,28/03/1996,14:30,Department of Conservation Otago,Owaka River tributary,Not Entered,,755.03,Catlins R,1340720,4850121,30,12.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15582,29/03/1996,10:45,Department of Conservation Otago,Manor Burn,Not Entered,,752.631,Clutha R,1330932,4956756,850,220.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,10,100,V1
15583,29/03/1996,12:00,Department of Conservation Otago,Manor Burn,Not Entered,,752.631,Clutha R,1332130,4958759,840,217.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,10,100,V1
15584,29/03/1996,14:30,Department of Conservation Otago,Manor Burn,Not Entered,,752.631,Clutha R,1330633,4956056,860,221.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15588,2/04/1996,11:00,Department of Conservation Otago,Waiwera River,Not Entered,,752.13,Clutha R,1319071,4868485,290,69.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15589,2/04/1996,12:00,Department of Conservation Otago,Waiwera River,Not Entered,,752.13,Clutha R,1320673,4867888,270,67.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15591,2/04/1996,13:00,Department of Conservation Otago,Waiwera River tributary,Not Entered,,752.13,Clutha R,1316869,4868981,340,70.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15592,2/04/1996,13:30,Department of Conservation Otago,Waiwera River,Not Entered,,752.13,Clutha R,1318571,4868284,290,69.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15604,2/03/1995,14:00,Department of Conservation Otago,Emerald Creek,Not Entered,,743.238,Taieri R,1398147,4962943,500,130,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15639,20/03/1996,13:15,Department of Conservation Otago,Lake Mahinerangi tributary,Not Entered,,743.05,Taieri R,1363708,4914385,395,46.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15650,17/10/1995,night,Department of Conservation Otago,Big Creek,Not Entered,,746,Big C,1376558,4886501,130,5.6,Traps - Gee minnow,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15659,4/03/1996,9:45,Department of Conservation Otago,Pioneer Stream,Not Entered,,743.054,Taieri R,1353999,4917771,460,59.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15665,4/03/1996,13:40,Department of Conservation Otago,Waipori River tributary,Not Entered,,743.05,Taieri R,1345593,4919759,480,70.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15708,27/11/1997,10:15,Department of Conservation East Coast,Mangakotukutuku Stream tributary,Not Entered,,199,Maraetaha R,2021815,5690818,270,14.2,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,1,FALSE,FALSE,180,,V1
15725,24/02/2003,14:00,Department of Conservation Wellington,Stokes Valley Stream,Not Entered,,298.13,Hutt R,1766379,5438185,90,16.7,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15798,1/03/2003,10:30,Timberlands West Coast,Red Jacks Creek,Not Entered,,914.13,Grey R,1475236,5299062,95,34.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15805,25/08/1996,day,Cawthron Institute,Roding River tributary,Not Entered,,575.021,Waimea R,1622305,5421799,200,37.8,Electric fishing - Bank generator or mains,Unknown,Paranephrops,Koura,5,FALSE,FALSE,,,V1
15812,12/02/1997,8:30,Cawthron Institute,Merry Creek,Not Entered,,797.173,Waiau R,1201314,4881662,140,38,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,4,FALSE,FALSE,,,V1
15813,12/02/1997,9:30,Cawthron Institute,Merry Creek,Not Entered,,797.173,Waiau R,1201011,4882563,120,37,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,3,FALSE,FALSE,,,V1
15814,12/02/1997,10:45,Cawthron Institute,Fenham Creek,Not Entered,,797.172,Waiau R,1204917,4883071,100,40.1,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,19,FALSE,FALSE,,,V1
15815,12/02/1997,12:30,Cawthron Institute,North Fern Burn,Not Entered,,789.202,Aparima R,1208428,4880074,90,50,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,58,FALSE,FALSE,,,V1
15816,12/02/1997,13:30,Cawthron Institute,South Fern Burn,Not Entered,,789.201,Aparima R,1208632,4878271,90,50.1,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,27,FALSE,FALSE,,,V1
15817,12/02/1997,17:00,Cawthron Institute,Pourakino River tributary,Not Entered,,789.05,Aparima R,1204436,4873054,200,38,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,19,FALSE,FALSE,,,V1
15818,12/02/1997,16:00,Cawthron Institute,Pourakino River,Not Entered,,789.05,Aparima R,1205335,4874458,150,35.5,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
15819,12/02/1997,14:45,Cawthron Institute,Pourakino River tributary,Not Entered,,789.05,Aparima R,1207740,4873762,100,32.6,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,35,FALSE,FALSE,,,V1
15820,12/02/1997,18:30,Cawthron Institute,Stony Creek,Not Entered,,789.056,Aparima R,1211256,4868662,40,24.9,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,15,FALSE,FALSE,,,V1
15822,13/02/1997,8:30,Cawthron Institute,Kowhai Creek,Not Entered,,798,Kowhai C,1185989,4880930,70,14.8,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,20,FALSE,FALSE,,,V1
15823,13/02/1997,9:30,Cawthron Institute,Kowhai Creek tributary,Not Entered,,798,Kowhai C,1185990,4880529,70,14.5,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,5,FALSE,FALSE,,,V1
15824,13/02/1997,11:35,Cawthron Institute,Alton Burn tributary,Not Entered,,797.14,Waiau R,1184173,4887438,150,27.3,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,10,FALSE,FALSE,,,V1
15852,12/04/1996,13:50,Department of Conservation Otago,North Branch Waikouaiti River tributary,Not Entered,,731,Waikouaiti R,1402046,4963747,570,57.5,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15853,12/04/1996,14:15,Department of Conservation Otago,North Branch Waikouaiti River tributary,Not Entered,,731,Waikouaiti R,1402346,4963748,530,57.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15855,17/04/1996,13:00,Department of Conservation Otago,Unnamed stream Greens Beach,Not Entered,,899,Greens Bch,1401833,5235684,5,0,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15856,17/04/1996,13:30,Department of Conservation West Coast,Te Rahotaiepa River,Not Entered,,898,Te Rahotaiepa R,1402733,5234183,30,2.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
15857,17/04/1996,14:30,Department of Conservation West Coast,Unnamed stream Opuku Cliff,Not Entered,,899,Opuku Cliff,1400633,5234084,40,1.9,Electric fishing - Backpack,Unknown,Paranephrops,Koura,22,FALSE,FALSE,,65,V1
15858,17/04/1996,15:15,Department of Conservation West Coast,Whakaikai River tributary,Not Entered,,899,Whakaikai R,1397333,5232984,90,2.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15859,17/04/1996,16:00,Department of Conservation West Coast,Unnamed stream Opuku Cliff,Not Entered,,899,Opuku Cliff,1401433,5233484,50,2.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15864,24/04/1996,10:30,Department of Conservation Otago,Bull Creek,Not Entered,,746,Bull C,1378465,4882304,5,0.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,75,,V1
15866,24/04/1996,13:20,Department of Conservation Otago,Glenledi Stream,Not Entered,,747,Nobles S,1373562,4883895,120,7.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15867,24/04/1996,13:45,Department of Conservation Otago,Bull Creek,Not Entered,,746,Bull C,1376261,4884500,90,4.7,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15869,24/04/1996,15:30,Department of Conservation Otago,Flax Stream,Not Entered,,742,Flax S,1387930,4903522,3,0.5,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15876,1/05/1995,9:30,Department of Conservation Otago,Lee Creek North Branch,Not Entered,,743.07,Taieri R,1376604,4919007,650,39.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15878,2/04/1996,12:00,Department of Conservation Otago,Stony Creek,Not Entered,,743.058,Taieri R,1350791,4922168,560,65.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
15879,2/04/1996,15:00,Department of Conservation Otago,Robertsons Creek,Not Entered,,738,Otago Pen,1414812,4914964,3,0.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15886,5/03/1993,9:30,Otago University,Three O'clock Stream tributary,Not Entered,,743.16,Taieri R,1399463,4950143,370,91.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
15891,5/12/1994,10:00,Otago University,Three O'clock Stream tributary,Not Entered,,743.16,Taieri R,1399463,4950143,370,91.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,4,FALSE,FALSE,20,50,V1
15901,9/05/1996,12:35,Department of Conservation Southland,Unnamed stream Abrahams Bay,Not Entered,,787,Stewart I,1220970,4788167,2,0.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15908,24/05/1996,10:30,Department of Conservation Otago,Left Branch Luncheon Creek,Not Entered,,752.47,Clutha R,1326338,4950347,515,141,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15921,20/05/1996,16:00,Department of Conservation Otago,Whare Creek,Not Entered,,743.09,Taieri R,1402499,4923846,340,52,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15935,2/05/1996,,Department of Conservation Nelson Marlborough,Falls River tributary,Not Entered,,560,Falls R,1603913,5469184,20,0.5,Traps - Gee minnow,Unknown,Paranephrops,Koura,4,FALSE,FALSE,,,V1
15948,20/06/1997,14:00,Department of Conservation Nelson Marlborough,Unnamed stream Robin Hood Bay,Not Entered,,600,Robin Hood B,1688687,5420695,30,1,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,1,FALSE,FALSE,40,,V1
15951,26/02/2003,16:00,Timberlands West Coast,Moores Creek,Not Entered,,914.23,Grey R,1482139,5320854,185,50.5,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15952,26/02/2003,14:00,Timberlands West Coast,Big River tributary,Not Entered,,914.22,Grey R,1480239,5320055,150,48.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15955,5/03/2003,10:30,Timberlands West Coast,Milwain Creek,Not Entered,,898,Te Rahotaiepa R,1404133,5235083,20,2.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15956,5/03/2003,14:30,Timberlands West Coast,Unnamed stream Greens Beach,Not Entered,,899,Greens Bch,1401633,5233084,35,2.9,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15957,28/02/2003,10:30,Timberlands West Coast,Palmer Creek,Not Entered,,908,Arahura R,1443036,5266974,100,11.4,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15968,28/01/2003,16:15,NIWA,Waiau River,Not Entered,,797,Waiau R,1181314,4916686,160,70.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,1,FALSE,FALSE,52,,V1
15984,24/03/2003,21:40,Department of Conservation Wanganui,Motutara Stream,Not Entered,,333.6,Whanganui R,1790704,5689327,190,234,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15985,24/03/2003,22:55,Department of Conservation Wanganui,Oruawhiro Stream,Not Entered,,333.58,Whanganui R,1786802,5689924,145,229.4,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15987,25/03/2003,18:00,Department of Conservation Wanganui,Otahu Stream,Not Entered,,333.548,Whanganui R,1789688,5706330,220,304.7,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15989,25/03/2003,20:00,Department of Conservation Wanganui,Ararimu Stream,Not Entered,,333.58,Whanganui R,1788391,5702528,256,249.2,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15990,25/03/2003,night,Department of Conservation Wanganui,Opotoki Stream,Not Entered,,333.65,Whanganui R,1790291,5703530,250,265,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15991,26/03/2003,22:15,Department of Conservation Wanganui,Ruataniwha Stream,Not Entered,,333,Whanganui R,1784808,5682820,150,214.2,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15994,27/03/2003,23:10,Department of Conservation Wanganui,Kaukore Stream,Not Entered,,333.26,Whanganui R,1775945,5628004,60,98.1,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15995,27/03/2003,21:20,Department of Conservation Wanganui,Kaukore Stream,Not Entered,,333.26,Whanganui R,1778344,5629005,130,101.5,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
15996,16/04/2002,night,Department of Conservation Nelson Marlborough,Table Creek,Not Entered,,550,Awaroa R,1594516,5467884,995,13.4,Traps - Gee minnow,Unknown,Paranephrops,Koura,116,FALSE,FALSE,30,100,V1
15997,2/10/2002,night,Department of Conservation Nelson Marlborough,Table Creek,Not Entered,,550,Awaroa R,1594217,5468984,550,11.9,Traps - Gee minnow,Unknown,Paranephrops,Koura,70,FALSE,FALSE,40,110,V1
16027,17/05/1996,11:48,Fish and Game Wellington,Catchpool Stream,Not Entered,,296.1,Wainuiomata R,1760976,5420587,50,13,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,3,FALSE,FALSE,,,V1
16029,17/05/1996,14:14,Fish and Game Wellington,Catchpool Stream,Not Entered,,296.1,Wainuiomata R,1762076,5420786,70,14.3,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
16030,7/08/1996,11:00,Fish and Game Wellington,Papawai Stream,Not Entered,,292.23,Ruamahanga R,1807781,5447780,45,75.2,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,2,FALSE,FALSE,100,,V1
16031,7/08/1996,12:15,Fish and Game Wellington,Papawai Stream,Not Entered,,292.23,Ruamahanga R,1809181,5445779,35,71.6,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
16078,20/05/1996,,Department of Conservation Wellington,Waikoukou Stream,Not Entered,,292,Ruamahanga R,1819383,5452178,70,87.3,Traps - Gee minnow,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
16091,19/08/1996,,Department of Conservation Wellington,Waikoukou Stream tributary,Not Entered,,292,Ruamahanga R,1818483,5450778,55,85.4,Traps - Gee minnow,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
16153,25/02/2003,22:00,West Coast Regional Council,Duck Creek,Not Entered,,906.04,Hokitika R,1440835,5255076,20,19.1,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
16154,11/02/2003,10:00,West Coast Regional Council,Duck Creek,Not Entered,,906.04,Hokitika R,1440835,5255076,20,19.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
16162,14/02/2003,14:30,West Coast Regional Council,Molloy Creek tributary,Not Entered,,914.06,Grey R,1474435,5289964,115,45.3,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
16169,6/02/2003,16:00,West Coast Regional Council,Bruce Creek tributary,Not Entered,,914.067,Grey R,1473831,5270068,125,62.9,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,25,90,V1
16171,6/02/2003,23:30,West Coast Regional Council,Bruce Creek tributary,Not Entered,,914.067,Grey R,1472332,5274967,90,56.4,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,13,FALSE,FALSE,,130,V1
16172,6/02/2003,22:45,West Coast Regional Council,Bruce Creek tributary,Not Entered,,914.067,Grey R,1472832,5274468,100,57.1,Observation - Spotlighting not captured to ID,Unknown,Paranephrops,Koura,20,FALSE,FALSE,,,V1
16175,5/02/2003,11:00,West Coast Regional Council,Brandy Jack Creek,Not Entered,,914.26,Grey R,1486836,5313855,110,49.7,Electric fishing - Backpack,Unknown,Paranephrops,Koura,8,FALSE,FALSE,,,V1
16180,19/09/1996,10:15,Department of Conservation Otago,Akatore Creek tributary,Not Entered,,745,Akatore C,1377542,4895504,100,12.6,Electric fishing - Backpack,Unknown,Paranephrops,Koura,1,FALSE,FALSE,,,V1
16192,26/09/1996,10:30,Department of Conservation Otago,Kakaho Creek,Not Entered,,721,Kakaho C,1424328,4980472,130,9.2,Electric fishing - Backpack,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
16196,2/10/1996,10:00,Department of Conservation Otago,Akatore Creek tributary,Not Entered,,745,Akatore C,1375144,4894000,105,14.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
